datetime,temperature
2007/7/1,60
2007/8/1,57
2007/9/1,59
2007/10/1,57
2007/11/1,54
2007/12/1,46
2008/1/1,23
2008/2/1,34
2008/3/1,73
2008/4/1,51
2008/5/1,47
2008/6/1,46
2008/7/1,59
2008/8/1,44
2008/9/1,62
2008/10/1,63
2008/11/1,64
2008/12/1,53
2009/1/1,61
2009/2/1,51
2009/3/1,52
2009/4/1,58
2009/5/1,64
2009/6/1,65
2009/7/1,69
2009/8/1,66
2009/9/1,68
2009/10/1,63
2009/11/1,76
2009/12/1,65
2010/1/1,73
2010/2/1,79
2010/3/1,91
2010/4/1,85
2010/5/1,73
2010/6/1,62
2010/7/1,59
2010/8/1,63
2010/9/1,59
2010/10/1,69
2010/11/1,77
2010/12/1,46
2011/1/1,48
2011/2/1,51
2011/3/1,62
2011/4/1,62
2011/5/1,51
2011/6/1,57
2011/7/1,71
2011/8/1,71
2011/9/1,54
2011/10/1,63
2011/11/1,56
2011/12/1,53
2012/1/1,45
2012/2/1,48
2012/3/1,56
2012/4/1,68
2012/5/1,75
2012/6/1,63
2012/7/1,53
2012/8/1,62
2012/9/1,72
2012/10/1,74
2012/11/1,73
2012/12/1,52
2013/1/1,67
2013/2/1,56
2013/3/1,65
2013/4/1,53
2013/5/1,58
2013/6/1,66
2013/7/1,57
2013/8/1,66
2013/9/1,78
2013/10/1,67
2013/11/1,78
2013/12/1,65
2014/1/1,73
2014/2/1,52
2014/3/1,76
2014/4/1,77
2014/5/1,85
2014/6/1,66
2014/7/1,56
2014/8/1,81
2014/9/1,88
2014/10/1,81
2014/11/1,66
2014/12/1,77
2015/1/1,81
2015/2/1,87
2015/3/1,90
2015/4/1,75
2015/5/1,75
2015/6/1,79
2015/7/1,71
2015/8/1,79
2015/9/1,82
2015/10/1,107
2015/11/1,103
2015/12/1,110
2016/1/1,115
2016/2/1,135
2016/3/1,131
2016/4/1,107
2016/5/1,91
2016/6/1,77
2016/7/1,82
2016/8/1,100
2016/9/1,88
2016/10/1,90
2016/11/1,91
2016/12/1,83
2017/1/1,98
2017/2/1,113
2017/3/1,113
2017/4/1,92
2017/5/1,89
2017/6/1,70
2017/7/1,82
2017/8/1,87
2017/9/1,76
2017/10/1,88
2017/11/1,86
2017/12/1,89
2018/1/1,77
2018/2/1,85
2018/3/1,91
2018/4/1,87
2018/5/1,81
2018/6/1,74
2018/7/1,78
2018/8/1,73
2018/9/1,76
2018/10/1,99
2018/11/1,78
2018/12/1,89
2019/1/1,87
2019/2/1,92
2019/3/1,111
2019/4/1,97
2019/5/1,85
2019/6/1,86
2019/7/1,90
